"Timestamp","VIP.FMSPMv2#ACTRI Total Electricity","VIP.FMSPMv2#CC Total kW","VIP.FMSPMv2#CPS Total","VIP.FMSPMv2#CT Total","VIP.FMSPMv2#CVC Total kW","VIP.FMSPMv2#EC Total","VIP.FMSPMv2#La Jolla Med Ctr Total kW","VIP.FMSPMv2#Main Tot kW BMII","VIP.FMSPMv2#MCB-001","VIP.FMSPMv2#MCB-002","VIP.FMSPMv2#MCB-003","VIP.FMSPMv2#MCCP Total kW","VIP.FMSPMv2#MCSS Total","VIP.FMSPMv2#OFF CAMPUS PV TOTAL","VIP.FMSPMv2#On Campus PV Total","VIP.FMSPMv2#SDGE TOTAL IMPORTS","VIP.FMSPMv2#SDGETotal","VIP.FMSPMv2#STG A","VIP.FMSPMv2#STG B","VIP.FMSPMv2#STG TOTAL","VIP.FMSPMv2#Total Campus","VIP.FMSPMv2#Total Generated","VIP.FMSPMv2#Total Generated at CUP","VIP.FMSPMv2#Total Imports to Main Campus","VIP.FMSPMv2#Total Produced at the CUP","VIP.FMSPMv2#Total Produced by PV","VIP.FMSPMv2#Total Produced Off-Campus PV","VIP.FMSPMv2#Total Produced On-Campus PV"
2025-05-27 12:30:00,931.745464324951,995.615264892578,27063.2734375,485.738623857498,577.011526107788,10862.7978515625,,,5406.03271484375,5456.76513671875,0,1260.80913543701,8289.154296875,350.459175109863,1749.68848323822,10862.7978515625,10862.7978515625,0,2341.06591796875,2341.06591796875,42020.725710392,31154.027838707,29404.3393554688,,,1002.46290302277,203.716720581055,715.906609535217
2025-05-27 12:45:00,916.705944061279,996.917526245117,26965.4404296875,482.301171541214,579.372188568115,11059.234375,,,5504.0966796875,5555.1376953125,0,1261.11818695068,8149.37841796875,337.555541992188,1724.88850069046,11059.234375,11059.234375,0,2330.63452148438,2330.63452148438,42084.0884842873,31020.9634518623,29296.0749511719,,,1062.73389101028,205.491424560547,768.676598072052
2025-05-27 13:00:00,964.883625030518,973.523880004883,26983.0771484375,486.30907613039,597.119855880737,11377.4370117188,,,5664.73876953125,5712.6982421875,0,1253.32490539551,8230.451171875,350.806915283203,1428.65613603592,11377.4370117188,11377.4370117188,0,2312.43603515625,2312.43603515625,42105.5046901703,30724.1693196297,29295.5131835938,,,893.616669178009,202.484298706055,611.733156681061
2025-05-27 13:15:00,943.54566192627,963.023666381836,26982.1728515625,482.354131877422,583.235692977905,11329.96484375,,,5634.7509765625,5695.2138671875,0,1259.46797180176,8075.43359375,352.45743560791,1372.83748054504,11329.96484375,11329.96484375,0,2317.755859375,2317.755859375,42006.6463549137,30672.7661914825,29299.9287109375,,,850.19867515564,203.735198974609,575.275654792786
2025-05-27 13:30:00,938.228996276855,1008.92637634277,27022.0458984375,482.737202823162,608.392234802246,10761.5786132813,,,5371.10107421875,5390.4775390625,0,1233.13911437988,7986.57836914063,322.985961914063,1374.83573102951,10761.5786132813,10761.5786132813,0,2334.60522460938,2334.60522460938,41496.9596045017,30731.4868540764,29356.6511230469,,,857.493401050568,204.17366027832,587.865799427032
2025-05-27 13:45:00,925.828174591064,965.816833496094,26858.0947265625,483.277755260468,587.962860107422,10832.2817382813,,,5384.27783203125,5448.00390625,0,1237.21954345703,8079.15307617188,359.050346374512,1132.59096765518,10832.2817382813,10832.2817382813,0,2325.3779296875,2325.3779296875,41152.269285202,30316.0636239052,29183.47265625,,,823.152814388275,201.458831787109,545.174386501312
2025-05-27 14:00:00,959.714874267578,968.380035400391,27003.5419921875,476.279607832432,571.176950454712,10622.642578125,,,5296.494140625,5326.1484375,0,1234.39567565918,8198.01123046875,351.066963195801,1314.88317775726,10622.642578125,10622.642578125,0,2344.52075195313,2344.52075195313,41289.5153341293,30662.9459218979,29348.0627441406,,,859.831408023834,201.883163452148,579.834087848663
2025-05-27 14:15:00,952.113735198975,982.100204467773,27049.9052734375,477.794374167919,588.097064971924,10499.9423828125,,,5210.392578125,5289.5498046875,0,1264.3890914917,8151.86987304688,340.405815124512,1388.15784430504,10499.9423828125,10499.9423828125,0,2334.54565429688,2334.54565429688,41276.4884464741,30772.6087720394,29384.4509277344,,,918.165332555771,194.510314941406,655.764590024948
2025-05-27 14:30:00,863.954082489014,967.573455810547,27040.3466796875,477.685524642468,570.822229385376,10544.8754882813,,,5246.8359375,5298.03955078125,0,1246.71294403076,8120.64233398438,313.025585174561,1319.54152345657,10544.8754882813,10544.8754882813,0,2314.40063476563,2314.40063476563,41223.0559344292,30674.2888379097,29354.7473144531,,,924.32089471817,191.705535888672,650.634588718414
2025-05-27 14:45:00,895.877475738525,982.715301513672,27075.1005859375,474.338140487671,569.196968078613,10299.5654296875,,,5115.9716796875,5183.59375,0,1226.09352874756,8087.09423828125,299.69157409668,1088.47396850586,10299.5654296875,10299.5654296875,0,2344.67138671875,2344.67138671875,40811.7010607719,30508.2459411621,29419.7719726563,,,741.903783798218,182.291793823242,480.129091262817
